品目名称,2020CY,2024CY,level_vs_2020
木材・木製品,100.0,118.2,18.200000000000003
家具工業,100.0,80.7,-19.299999999999997
家具,100.0,80.7,-19.299999999999997
ゴム製品工業,100.0,102.5,2.5
ゴム製品,100.0,102.5,2.5
その他製品工業,100.0,90.2,-9.799999999999997
時計,100.0,74.4,-25.599999999999994
楽器,100.0,96.3,-3.700000000000003
玩具,100.0,100.1,0.09999999999999432
文具,100.0,90.3,-9.700000000000003
皮革製品,100.0,89.9,-10.099999999999994
鉱業,100.0,110.4,10.400000000000006
産業総合（鉱工業、電力・ガス・熱供給・水道事業）,100.0,106.1,6.099999999999994
産業総合（鉱工業、電力・ガス・熱供給）,100.0,106.1,6.099999999999994
機械工業,100.0,114.5,14.5
非機械工業,100.0,102.6,2.5999999999999943
<旧分類>はん用・生産用・業務用機械工業,100.0,111.3,11.299999999999997
<旧特掲>普通鋼鋼材,100.0,105.3,5.299999999999997
<旧特掲>特殊鋼鋼材,100.0,85.6,-14.400000000000006
<旧特掲>乗用車・トラック,100.0,113.8,13.799999999999997
<旧特掲>石油化学製品,100.0,106.3,6.299999999999997
